0,-2.79186
1,-2.11837
2,-2.7662
3,-2.76315
4,-2.37559
5,-2.09452
6,-2.43579
7,-3.0505
8,-2.04212
9,-2.55956
10,-3.58682
11,-2.18088
12,-3.50824
13,-3.90963
14,-2.58728
15,-2.07318
16,-2.75564
17,-3.24347
18,-2.81681
19,-2.03041
20,-3.18541
21,-3.60217
22,-2.26939
23,-2.81215
24,-2.34183
25,-2.03958
26,-3.4362
27,-1.85317
28,-3.33136
29,-2.20163
30,-2.23184
31,-3.15939
32,-2.38268
33,-2.66144
34,-2.21666
35,-2.57085
36,-2.0176
37,-2.00288
38,-2.37008
39,-2.56202
40,-2.066
41,-2.0644
42,-2.21369
43,-1.99677
44,-1.72556
45,-1.6503
46,-3.30973
47,-2.43159
48,-2.0336
49,-2.7216
50,-2.21793
51,-2.38793
52,-3.24137
53,-2.2117
54,-2.22686
55,-2.40397
56,-2.13237
57,-2.37138
58,-2.4009
59,-2.6379
60,-2.64104
61,-2.45474
62,-2.37251
63,-2.76948
64,-3.46071
65,-4.10013
66,-2.40402
