0,-1.98706
1,-2.40823
2,-2.41232
3,-2.31522
4,-2.32315
5,-2.15434
6,-2.06314
7,-2.75685
8,-1.98057
9,-2.45712
10,-2.67644
11,-2.55077
12,-2.69909
13,-2.21401
14,-2.45411
15,-2.58902
16,-1.97771
17,-2.53025
18,-2.73466
19,-1.52625
20,-2.19237
21,-2.12134
22,-2.00696
23,-2.26668
24,-2.63012
25,-2.13282
26,-2.02904
27,-2.87162
28,-1.90871
29,-1.23677
30,-2.2538
31,-2.63289
32,-2.14923
33,-1.96439
34,-1.64393
35,-1.71641
36,-1.26409
37,-1.36217
38,-1.42617
39,-2.4915
40,-2.01628
41,-1.31813
42,-2.29317
43,-2.75966
44,-1.80133
45,-2.64721
46,-1.19109
47,-1.24582
48,-1.25022
49,-1.71549
50,-2.48956
51,-1.19835
52,-1.59913
53,-2.20073
